release,state_po,elections_narrow,politics_broad,primary_date,runoff_date,post,treat_may,march_primary
apr2026,AL,,0.48,2026-05-19,2026-06-16,False,True,False
apr2026,AZ,,0.42,2026-07-21,,False,False,False
apr2026,CA,0.05,0.41,2026-06-02,,False,False,False
apr2026,CO,,0.43,2026-06-30,,False,False,False
apr2026,CT,,0.4,2026-08-11,,False,False,False
apr2026,DC,,1.05,2026-06-16,,False,False,False
apr2026,FL,,0.36,2026-08-18,,False,False,False
apr2026,GA,,0.33,2026-05-19,2026-06-16,False,True,False
apr2026,ID,,0.59,2026-05-19,,False,True,False
apr2026,IL,,0.43,2026-03-17,,False,False,True
apr2026,IN,,0.33,2026-05-05,,False,True,False
apr2026,KS,,0.71,2026-08-04,,False,False,False
apr2026,LA,,0.39,2026-05-16,2026-06-27,False,True,False
apr2026,MA,,0.45,2026-09-01,,False,False,False
apr2026,MD,,0.53,2026-06-23,,False,False,False
apr2026,MI,,0.46,2026-08-04,,False,False,False
apr2026,MN,,0.46,2026-08-11,,False,False,False
apr2026,MO,,0.39,2026-08-04,,False,False,False
apr2026,NC,,0.37,2026-03-03,2026-05-12,False,False,True
apr2026,NJ,,0.35,2026-06-02,,False,False,False
apr2026,NV,,0.37,2026-06-09,,False,False,False
apr2026,NY,0.03,0.49,2026-06-23,,False,False,False
apr2026,OH,,0.38,2026-05-05,,False,True,False
apr2026,OK,,0.38,2026-06-16,2026-08-25,False,False,False
apr2026,OR,,0.34,2026-05-19,,False,True,False
apr2026,PA,,0.37,2026-05-19,,False,True,False
apr2026,SC,,0.64,2026-06-09,2026-06-23,False,False,False
apr2026,TN,,0.38,2026-08-06,,False,False,False
apr2026,TX,0.03,0.38,2026-03-03,2026-05-26,False,False,True
apr2026,UT,,0.53,2026-06-23,,False,False,False
apr2026,VA,,0.51,2026-08-04,,False,False,False
apr2026,WA,,0.35,2026-08-04,,False,False,False
apr2026,WI,,0.41,2026-08-11,,False,False,False
may2026,AL,,0.57,2026-05-19,2026-06-16,True,True,False
may2026,AZ,,0.35,2026-07-21,,True,False,False
may2026,CA,0.14,0.5,2026-06-02,,True,False,False
may2026,CO,,0.42,2026-06-30,,True,False,False
may2026,CT,,0.46,2026-08-11,,True,False,False
may2026,DC,,1.01,2026-06-16,,True,False,False
may2026,FL,0.04,0.42,2026-08-18,,True,False,False
may2026,GA,0.16,0.54,2026-05-19,2026-06-16,True,True,False
may2026,ID,,0.5,2026-05-19,,True,True,False
may2026,IL,,0.45,2026-03-17,,True,False,True
may2026,IN,,0.44,2026-05-05,,True,True,False
may2026,KS,,0.6,2026-08-04,,True,False,False
may2026,LA,,0.53,2026-05-16,2026-06-27,True,True,False
may2026,MA,,0.44,2026-09-01,,True,False,False
may2026,MD,,0.6,2026-06-23,,True,False,False
may2026,MI,,0.36,2026-08-04,,True,False,False
may2026,MN,,0.54,2026-08-11,,True,False,False
may2026,MO,,0.45,2026-08-04,,True,False,False
may2026,NC,,0.39,2026-03-03,2026-05-12,True,False,True
may2026,NJ,,0.34,2026-06-02,,True,False,False
may2026,NV,,0.45,2026-06-09,,True,False,False
may2026,NY,0.05,0.49,2026-06-23,,True,False,False
may2026,OH,,0.43,2026-05-05,,True,True,False
may2026,OK,,0.46,2026-06-16,2026-08-25,True,False,False
may2026,OR,0.14,0.57,2026-05-19,,True,True,False
may2026,PA,0.1,0.46,2026-05-19,,True,True,False
may2026,SC,,0.38,2026-06-09,2026-06-23,True,False,False
may2026,TN,,0.55,2026-08-06,,True,False,False
may2026,TX,0.06,0.43,2026-03-03,2026-05-26,True,False,True
may2026,UT,,0.41,2026-06-23,,True,False,False
may2026,VA,,0.49,2026-08-04,,True,False,False
may2026,WA,0.05,0.4,2026-08-04,,True,False,False
may2026,WI,,0.36,2026-08-11,,True,False,False
