country,pct
USA,0.46
GBR,0.45
COL,0.43
ROU,0.41
NZL,0.38
GEO,0.37
FIN,0.36
HRV,0.36
SWE,0.34
BGR,0.33
AUS,0.33
DEU,0.33
CHE,0.32
IRL,0.32
ITA,0.32
SRB,0.32
CZE,0.31
DNK,0.31
SVK,0.31
FRA,0.31
POL,0.31
AUT,0.3
CAN,0.3
HUN,0.3
BEL,0.28
GRC,0.28
ARG,0.27
JPN,0.27
CHL,0.26
ESP,0.26
MEX,0.26
NLD,0.26
TUR,0.25
NOR,0.25
KOR,0.25
NPL,0.25
SGP,0.24
IND,0.23
UKR,0.22
TWN,0.21
PRT,0.21
ISR,0.21
KEN,0.2
BRA,0.19
PER,0.19
PHL,0.19
MYS,0.19
ARE,0.18
BGD,0.18
ZAF,0.17
DZA,0.15
IDN,0.15
MAR,0.15
NGA,0.14
THA,0.13
SAU,0.12
PAK,0.11
EGY,0.1
VNM,0.09
