state_po,month,post,treat_may,pct
ID,may,TRUE,TRUE,0.5
MD,may,TRUE,FALSE,0.6
CA,may,TRUE,FALSE,0.5
UT,may,TRUE,FALSE,0.41
LA,may,TRUE,TRUE,0.53
CO,may,TRUE,FALSE,0.42
NV,may,TRUE,FALSE,0.45
KS,may,TRUE,FALSE,0.6
WA,may,TRUE,FALSE,0.4
MA,may,TRUE,FALSE,0.44
MN,may,TRUE,FALSE,0.54
OK,may,TRUE,FALSE,0.46
VA,may,TRUE,FALSE,0.49
DC,may,TRUE,FALSE,1.01
WI,may,TRUE,FALSE,0.36
OH,may,TRUE,TRUE,0.43
AL,may,TRUE,TRUE,0.57
SC,may,TRUE,FALSE,0.38
MI,may,TRUE,FALSE,0.36
MO,may,TRUE,FALSE,0.45
TN,may,TRUE,FALSE,0.55
PA,may,TRUE,TRUE,0.46
FL,may,TRUE,FALSE,0.42
GA,may,TRUE,TRUE,0.54
NJ,may,TRUE,FALSE,0.34
NY,may,TRUE,FALSE,0.49
AZ,may,TRUE,FALSE,0.35
CT,may,TRUE,FALSE,0.46
IN,may,TRUE,TRUE,0.44
OR,may,TRUE,TRUE,0.57
LA,apr,FALSE,TRUE,0.39
VA,apr,FALSE,FALSE,0.51
CT,apr,FALSE,FALSE,0.4
SC,apr,FALSE,FALSE,0.64
CA,apr,FALSE,FALSE,0.41
NV,apr,FALSE,FALSE,0.37
OH,apr,FALSE,TRUE,0.38
GA,apr,FALSE,TRUE,0.33
DC,apr,FALSE,FALSE,1.05
ID,apr,FALSE,TRUE,0.59
NJ,apr,FALSE,FALSE,0.35
KS,apr,FALSE,FALSE,0.71
PA,apr,FALSE,TRUE,0.37
IN,apr,FALSE,TRUE,0.33
WA,apr,FALSE,FALSE,0.35
OK,apr,FALSE,FALSE,0.38
MA,apr,FALSE,FALSE,0.45
FL,apr,FALSE,FALSE,0.36
AZ,apr,FALSE,FALSE,0.42
NY,apr,FALSE,FALSE,0.49
MN,apr,FALSE,FALSE,0.46
MO,apr,FALSE,FALSE,0.39
OR,apr,FALSE,TRUE,0.34
WI,apr,FALSE,FALSE,0.41
AL,apr,FALSE,TRUE,0.48
MD,apr,FALSE,FALSE,0.53
UT,apr,FALSE,FALSE,0.53
CO,apr,FALSE,FALSE,0.43
TN,apr,FALSE,FALSE,0.38
MI,apr,FALSE,FALSE,0.46
