topic,lvl,metric_id,value
Politics and public record,1,artifact_academic_paper_or_thesis_pct,0.02
Geopolitics and strategy,1,artifact_advice_or_recommendation_pct,2.4
Geopolitics and strategy,1,artifact_analysis_or_summary_pct,29.93
Politics and public record,1,artifact_advice_or_recommendation_pct,3.28
Government filings,1,artifact_app_or_website_pct,0.2
Politics and public record,1,artifact_blog_or_article_pct,0.1
Geopolitics and strategy,1,artifact_blog_or_article_pct,0.07
Politics and public record,1,artifact_code_fix_or_debug_pct,0.02
Geopolitics and strategy,1,ai_autonomy_mean,2.67
Government filings,1,ai_autonomy_mean,2.58
Geopolitics and strategy,1,ai_education_years_mean,13.6
Geopolitics and strategy,1,artifact_academic_paper_or_thesis_pct,0.03
Government filings,1,artifact_advice_or_recommendation_pct,13.24
Politics and public record,1,artifact_app_or_website_pct,0.31
Geopolitics and strategy,1,artifact_audio_or_music_pct,0
Government filings,1,artifact_audio_or_music_pct,0
Politics and public record,1,ai_autonomy_mean,2.63
Politics and public record,1,ai_education_years_mean,12.52
Government filings,1,ai_education_years_mean,14.42
Government filings,1,artifact_academic_paper_or_thesis_pct,0
Politics and public record,1,artifact_analysis_or_summary_pct,19.85
Politics,0,artifact_idea_or_brainstorm_pct,0.07
Politics,0,artifact_plan_or_strategy_pct,0.59
Politics,0,artifact_presentation_or_slides_pct,0.05
Politics,0,artifact_email_or_message_pct,0.44
Politics,0,ai_education_years_mean,12.25
Politics,0,collaboration_bucket_automation_pct,38.03
Politics,0,artifact_none_pct,17.57
Politics,0,artifact_marketing_or_social_content_pct,0.07
Politics,0,artifact_translation_pct,0.34
Politics,0,artifact_recipe_or_meal_plan_pct,0.05
Politics,0,human_with_ai_time_mean,15.74
Politics,0,use_case_coursework_pct,2.04
Geopolitics and strategy,1,artifact_app_or_website_pct,0.28
Politics and public record,1,artifact_chart_or_visualization_pct,1.59
Geopolitics and strategy,1,artifact_chart_or_visualization_pct,2.21
Government filings,1,artifact_chart_or_visualization_pct,0.77
Politics,0,collaboration_feedback_loop_pct,3.02
Politics,0,collaboration_validation_pct,2.63
Politics,0,multitasking_pct,13.4
Politics,0,artifact_blog_or_article_pct,0.05
Politics,0,collaboration_task_iteration_pct,8.33
Politics and public record,1,artifact_config_or_infra_pct,0.03
Geopolitics and strategy,1,artifact_data_or_spreadsheet_pct,0.65
Politics and public record,1,artifact_document_or_report_pct,6.6
Government filings,1,artifact_document_or_report_pct,36.99
Public records lookup,0,human_with_ai_time_mean,4.31
Public records lookup,0,use_case_personal_pct,72.71
Public records lookup,0,ai_education_years_mean,9.95
Government filings,1,artifact_config_or_infra_pct,0.04
Politics and public record,1,artifact_data_or_spreadsheet_pct,1.45
Public records lookup,0,collaboration_directive_pct,70.37
Public records lookup,0,artifact_analysis_or_summary_pct,5.49
Public records lookup,0,collaboration_learning_pct,10.02
Public records lookup,0,artifact_app_or_website_pct,0.29
Public records lookup,0,use_case_work_pct,24.14
Public records lookup,0,collaboration_task_iteration_pct,6.14
Politics,0,human_education_years_mean,10.29
Politics,0,artifact_explanation_or_answer_pct,54.64
Politics,0,artifact_image_or_graphic_pct,0.07
Politics,0,collaboration_none_pct,3.66
Politics,0,use_case_personal_pct,86.28
Politics,0,artifact_script_or_snippet_pct,0.05
Politics,0,artifact_data_or_spreadsheet_pct,0.93
Politics,0,artifact_document_or_report_pct,2.36
Politics,0,artifact_chart_or_visualization_pct,0.96
Government filings,1,artifact_code_fix_or_debug_pct,0.04
Public records lookup,0,artifact_idea_or_brainstorm_pct,0.07
Public records lookup,0,artifact_plan_or_strategy_pct,0.07
Public records lookup,0,multitasking_pct,10.24
Public records lookup,0,artifact_data_or_spreadsheet_pct,2.49
Public records lookup,0,artifact_email_or_message_pct,0.15
Public records lookup,0,collaboration_feedback_loop_pct,6.14
Public records lookup,0,human_only_time_mean,0.59
Public records lookup,0,artifact_chart_or_visualization_pct,0.66
Government filings,1,artifact_analysis_or_summary_pct,6.4
Politics and public record,1,artifact_audio_or_music_pct,0
Government filings,1,artifact_blog_or_article_pct,0
Geopolitics and strategy,1,artifact_code_fix_or_debug_pct,0.02
Politics and public record,1,artifact_creative_writing_pct,0.06
Geopolitics and strategy,1,artifact_creative_writing_pct,0.18
Geopolitics and strategy,1,artifact_document_or_report_pct,7.98
Geopolitics and strategy,1,artifact_educational_material_pct,0.02
Public records lookup,0,use_case_coursework_pct,3.15
Public records lookup,0,human_education_years_mean,8.24
Public records lookup,0,collaboration_none_pct,5.71
Politics,0,artifact_analysis_or_summary_pct,19.78
Politics,0,artifact_app_or_website_pct,0.15
Politics,0,human_only_time_mean,2.33
Politics,0,use_case_work_pct,11.68
Politics,0,ai_autonomy_mean,2.57
Politics,0,human_only_ability_pct,98.77
Politics,0,artifact_advice_or_recommendation_pct,1.69
Government filings,1,artifact_creative_writing_pct,0
Public records lookup,0,collaboration_bucket_augmentation_pct,18.85
Public records lookup,0,collaboration_validation_pct,1.61
Public records lookup,0,artifact_script_or_snippet_pct,0.51
Public records lookup,0,artifact_none_pct,25.31
Public records lookup,0,artifact_translation_pct,0.15
Public records lookup,0,ai_autonomy_mean,2.42
Public records lookup,0,collaboration_bucket_automation_pct,81.15
Politics,0,collaboration_bucket_augmentation_pct,61.97
Politics,0,collaboration_learning_pct,48.75
Politics,0,pct,0.1
Politics,0,collaboration_directive_pct,33.62
Government filings,1,artifact_explanation_or_answer_pct,21.83
Politics and public record,1,artifact_game_or_interactive_pct,0.01
Politics and public record,1,artifact_idea_or_brainstorm_pct,0.2
Politics and public record,1,artifact_explanation_or_answer_pct,47.74
Geopolitics and strategy,1,artifact_config_or_infra_pct,0.05
Government filings,1,artifact_data_or_spreadsheet_pct,2.65
Politics and public record,1,artifact_educational_material_pct,0.04
Public records lookup,0,human_only_ability_pct,99.2
Public records lookup,0,artifact_explanation_or_answer_pct,59.4
Public records lookup,0,artifact_config_or_infra_pct,0.07
Public records lookup,0,artifact_math_or_calculation_pct,0.37
Public records lookup,0,artifact_advice_or_recommendation_pct,3.44
Public records lookup,0,artifact_document_or_report_pct,1.54
Geopolitics and strategy,1,artifact_idea_or_brainstorm_pct,0.33
Politics and public record,1,artifact_image_or_graphic_pct,0.12
Government filings,1,artifact_math_or_calculation_pct,0.65
Geopolitics and strategy,1,artifact_ml_or_ai_system_pct,0.08
Government filings,1,artifact_marketing_or_social_content_pct,0
Politics and public record,1,artifact_email_or_message_pct,0.89
Geopolitics and strategy,1,artifact_game_or_interactive_pct,0.02
Geopolitics and strategy,1,artifact_image_or_graphic_pct,0.1
Government filings,1,artifact_educational_material_pct,0
Government filings,1,artifact_game_or_interactive_pct,0.04
Geopolitics and strategy,1,artifact_marketing_or_social_content_pct,0.02
Politics and public record,1,artifact_math_or_calculation_pct,0.13
Geopolitics and strategy,1,artifact_math_or_calculation_pct,0.07
Government filings,1,artifact_ml_or_ai_system_pct,0.12
Government filings,1,artifact_none_pct,4.89
Politics and public record,1,artifact_marketing_or_social_content_pct,0.13
Geopolitics and strategy,1,artifact_none_pct,10.08
Government filings,1,artifact_idea_or_brainstorm_pct,0.33
News writing,0,artifact_educational_material_pct,0.14
News writing,0,artifact_explanation_or_answer_pct,0.65
News writing,0,pct,0.16
News writing,0,collaboration_none_pct,0.68
News writing,0,artifact_blog_or_article_pct,44.45
News writing,0,use_case_coursework_pct,4.04
News writing,0,collaboration_directive_pct,41.13
News writing,0,artifact_translation_pct,0.36
News writing,0,human_education_years_mean,13.34
News writing,0,collaboration_validation_pct,1.35
News writing,0,artifact_creative_writing_pct,0.41
News writing,0,human_only_time_mean,4.81
News writing,0,artifact_ui_or_design_mockup_pct,0.66
News writing,0,artifact_chart_or_visualization_pct,0.53
Politics and public record,1,artifact_ml_or_ai_system_pct,0.05
Geopolitics and strategy,1,artifact_email_or_message_pct,0.46
Government filings,1,artifact_email_or_message_pct,6.4
Geopolitics and strategy,1,artifact_explanation_or_answer_pct,42.42
Geopolitics and strategy,1,artifact_other_pct,0
News writing,0,artifact_script_or_snippet_pct,0.36
News writing,0,artifact_video_or_animation_pct,0.06
News writing,0,artifact_plan_or_strategy_pct,0.96
News writing,0,artifact_ml_or_ai_system_pct,0.17
News writing,0,multitasking_pct,24.8
News writing,0,collaboration_task_iteration_pct,53.21
News writing,0,artifact_marketing_or_social_content_pct,3.26
Government filings,1,artifact_presentation_or_slides_pct,0.16
Politics and public record,1,artifact_presentation_or_slides_pct,0.07
News writing,0,artifact_data_or_spreadsheet_pct,0.36
News writing,0,artifact_document_or_report_pct,32.05
News writing,0,artifact_idea_or_brainstorm_pct,0.48
News writing,0,artifact_advice_or_recommendation_pct,0.53
Government filings,1,artifact_recipe_or_meal_plan_pct,0
Geopolitics and strategy,1,artifact_resume_or_job_application_pct,0
Government filings,1,artifact_resume_or_job_application_pct,0
Geopolitics and strategy,1,artifact_script_or_snippet_pct,0.15
Government filings,1,artifact_image_or_graphic_pct,0
Politics and public record,1,artifact_none_pct,15.01
Politics and public record,1,artifact_other_pct,0.01
Politics and public record,1,artifact_plan_or_strategy_pct,1.79
Government filings,1,artifact_plan_or_strategy_pct,4.73
News writing,0,collaboration_bucket_augmentation_pct,55.88
News writing,0,ai_education_years_mean,13.42
News writing,0,artifact_presentation_or_slides_pct,0.29
News writing,0,artifact_image_or_graphic_pct,0.39
News writing,0,collaboration_feedback_loop_pct,2.69
News writing,0,human_only_ability_pct,93.22
News writing,0,human_with_ai_time_mean,33.99
Government filings,1,artifact_other_pct,0
Geopolitics and strategy,1,artifact_recipe_or_meal_plan_pct,0.03
Government filings,1,artifact_script_or_snippet_pct,0.24
Government filings,1,artifact_sql_or_database_query_pct,0
Government filings,1,artifact_translation_pct,0.2
Geopolitics and strategy,1,artifact_ui_or_design_mockup_pct,0.05
News writing,0,artifact_config_or_infra_pct,0.09
News writing,0,artifact_app_or_website_pct,1.76
News writing,0,artifact_none_pct,5.9
News writing,0,collaboration_learning_pct,0.93
News writing,0,artifact_resume_or_job_application_pct,0.06
News writing,0,use_case_work_pct,87.74
News writing,0,collaboration_bucket_automation_pct,44.12
News writing,0,artifact_email_or_message_pct,3.54
News writing,0,artifact_analysis_or_summary_pct,2.45
News writing,0,ai_autonomy_mean,2.75
News writing,0,use_case_personal_pct,8.22
Politics and public record,1,artifact_resume_or_job_application_pct,0.03
Politics and public record,1,artifact_script_or_snippet_pct,0.18
Politics and public record,1,artifact_sql_or_database_query_pct,0
Geopolitics and strategy,1,artifact_sql_or_database_query_pct,0
Geopolitics and strategy,1,artifact_translation_pct,0.3
Politics and public record,1,artifact_translation_pct,0.24
Government filings,1,artifact_ui_or_design_mockup_pct,0.08
Politics and public record,1,artifact_video_or_animation_pct,0
Politics and public record,1,collaboration_bucket_augmentation_pct,58.32
Geopolitics and strategy,1,artifact_plan_or_strategy_pct,1.87
Geopolitics and strategy,1,artifact_presentation_or_slides_pct,0.2
Politics and public record,1,artifact_recipe_or_meal_plan_pct,0.03
Politics and public record,1,collaboration_bucket_automation_pct,41.68
Government filings,1,collaboration_feedback_loop_pct,21.28
Geopolitics and strategy,1,collaboration_none_pct,2.35
Politics and public record,1,collaboration_directive_pct,33.88
Government filings,1,collaboration_learning_pct,19.51
Politics and public record,1,artifact_ui_or_design_mockup_pct,0.03
Geopolitics and strategy,1,collaboration_bucket_augmentation_pct,64.78
Politics and public record,1,collaboration_feedback_loop_pct,6.7
Geopolitics and strategy,1,collaboration_bucket_automation_pct,35.22
Government filings,1,collaboration_bucket_automation_pct,43.03
Geopolitics and strategy,1,artifact_video_or_animation_pct,0
Government filings,1,artifact_video_or_animation_pct,0
Elections,0,collaboration_feedback_loop_pct,9.17
Elections,0,collaboration_task_iteration_pct,16.7
Elections,0,artifact_math_or_calculation_pct,0.14
Elections,0,artifact_chart_or_visualization_pct,2.59
Elections,0,artifact_ui_or_design_mockup_pct,0.07
Elections,0,artifact_explanation_or_answer_pct,37.04
Elections,0,use_case_coursework_pct,0.61
Elections,0,artifact_email_or_message_pct,0.34
Elections,0,artifact_plan_or_strategy_pct,0.48
Elections,0,artifact_presentation_or_slides_pct,0.2
Elections,0,human_only_time_mean,2.94
Elections,0,artifact_none_pct,18.08
Elections,0,ai_autonomy_mean,2.55
Elections,0,artifact_ml_or_ai_system_pct,0.07
Elections,0,artifact_marketing_or_social_content_pct,0.34
Elections,0,use_case_personal_pct,91.34
Elections,0,artifact_analysis_or_summary_pct,25.38
Geopolitics and strategy,1,human_only_ability_pct,91.53
Geopolitics and strategy,1,collaboration_directive_pct,27.56
Politics and public record,1,collaboration_none_pct,2.63
Government filings,1,collaboration_none_pct,1.69
Geopolitics and strategy,1,collaboration_task_iteration_pct,10.99
Politics and public record,1,human_education_years_mean,10.87
Geopolitics and strategy,1,human_education_years_mean,12.13
Politics and public record,1,human_only_ability_pct,95.94
Government filings,1,collaboration_bucket_augmentation_pct,56.97
Elections,0,artifact_creative_writing_pct,0.07
Elections,0,artifact_data_or_spreadsheet_pct,2.59
Elections,0,artifact_translation_pct,0.07
Elections,0,artifact_advice_or_recommendation_pct,7.84
Elections,0,use_case_work_pct,8.04
Elections,0,human_with_ai_time_mean,18.37
Elections,0,human_education_years_mean,10.01
Elections,0,collaboration_learning_pct,22.52
Elections,0,multitasking_pct,14.06
Elections,0,collaboration_bucket_automation_pct,57.11
Elections,0,human_only_ability_pct,97.41
Elections,0,collaboration_validation_pct,2.67
Elections,0,collaboration_bucket_augmentation_pct,42.89
Government filings,1,collaboration_directive_pct,21.03
Geopolitics and strategy,1,collaboration_feedback_loop_pct,6.84
Politics and public record,1,collaboration_learning_pct,40.67
Geopolitics and strategy,1,collaboration_learning_pct,46.92
Government filings,1,human_education_years_mean,13.94
Elections,0,artifact_app_or_website_pct,0.61
Elections,0,artifact_document_or_report_pct,3.62
Elections,0,collaboration_none_pct,2.33
Elections,0,collaboration_directive_pct,46.61
Politics and public record,1,collaboration_task_iteration_pct,13.26
Government filings,1,collaboration_validation_pct,6.38
Geopolitics and strategy,1,human_only_time_mean,5.61
Geopolitics and strategy,1,human_with_ai_time_mean,37.17
Government filings,1,multitasking_pct,22.49
Government filings,1,human_only_time_mean,4.64
Elections,0,artifact_script_or_snippet_pct,0.2
Elections,0,artifact_code_fix_or_debug_pct,0.07
Elections,0,ai_education_years_mean,12.03
