state_po,week_start,index,batch
AK,2025-06-29,0,gt_primary_election_batch01.csv
AK,2025-07-06,0,gt_primary_election_batch01.csv
AK,2025-07-13,0,gt_primary_election_batch01.csv
AK,2025-07-20,0,gt_primary_election_batch01.csv
AK,2025-07-27,0,gt_primary_election_batch01.csv
AK,2025-08-03,0,gt_primary_election_batch01.csv
AK,2025-08-10,0,gt_primary_election_batch01.csv
AK,2025-08-17,0,gt_primary_election_batch01.csv
AK,2025-08-24,0,gt_primary_election_batch01.csv
AK,2025-08-31,0,gt_primary_election_batch01.csv
AK,2025-09-07,0,gt_primary_election_batch01.csv
AK,2025-09-14,0,gt_primary_election_batch01.csv
AK,2025-09-21,0,gt_primary_election_batch01.csv
AK,2025-09-28,0,gt_primary_election_batch01.csv
AK,2025-10-05,0,gt_primary_election_batch01.csv
AK,2025-10-12,0,gt_primary_election_batch01.csv
AK,2025-10-19,0,gt_primary_election_batch01.csv
AK,2025-10-26,0,gt_primary_election_batch01.csv
AK,2025-11-02,0,gt_primary_election_batch01.csv
AK,2025-11-09,0,gt_primary_election_batch01.csv
AK,2025-11-16,0,gt_primary_election_batch01.csv
AK,2025-11-23,0,gt_primary_election_batch01.csv
AK,2025-11-30,0,gt_primary_election_batch01.csv
AK,2025-12-07,0,gt_primary_election_batch01.csv
AK,2025-12-14,0,gt_primary_election_batch01.csv
AK,2025-12-21,0,gt_primary_election_batch01.csv
AK,2025-12-28,0,gt_primary_election_batch01.csv
AK,2026-01-04,0,gt_primary_election_batch01.csv
AK,2026-01-11,0,gt_primary_election_batch01.csv
AK,2026-01-18,0,gt_primary_election_batch01.csv
AK,2026-01-25,0,gt_primary_election_batch01.csv
AK,2026-02-01,0,gt_primary_election_batch01.csv
AK,2026-02-08,0,gt_primary_election_batch01.csv
AK,2026-02-15,0,gt_primary_election_batch01.csv
AK,2026-02-22,0,gt_primary_election_batch01.csv
AK,2026-03-01,0,gt_primary_election_batch01.csv
AK,2026-03-08,0,gt_primary_election_batch01.csv
AK,2026-03-15,0,gt_primary_election_batch01.csv
AK,2026-03-22,0,gt_primary_election_batch01.csv
AK,2026-03-29,0,gt_primary_election_batch01.csv
AK,2026-04-05,0,gt_primary_election_batch01.csv
AK,2026-04-12,0,gt_primary_election_batch01.csv
AK,2026-04-19,0,gt_primary_election_batch01.csv
AK,2026-04-26,0,gt_primary_election_batch01.csv
AK,2026-05-03,0,gt_primary_election_batch01.csv
AK,2026-05-10,0,gt_primary_election_batch01.csv
AK,2026-05-17,0,gt_primary_election_batch01.csv
AK,2026-05-24,0,gt_primary_election_batch01.csv
AK,2026-05-31,11,gt_primary_election_batch01.csv
AK,2026-06-07,0,gt_primary_election_batch01.csv
AK,2026-06-14,0,gt_primary_election_batch01.csv
AK,2026-06-21,0,gt_primary_election_batch01.csv
AK,2026-06-28,0,gt_primary_election_batch01.csv
AK,2026-07-05,0,gt_primary_election_batch01.csv
AK,2026-07-12,3,gt_primary_election_batch01.csv
AK,2026-07-19,7,gt_primary_election_batch01.csv
AL,2025-06-29,0,gt_primary_election_batch01.csv
AL,2025-07-06,0,gt_primary_election_batch01.csv
AL,2025-07-13,0,gt_primary_election_batch01.csv
AL,2025-07-20,0,gt_primary_election_batch01.csv
AL,2025-07-27,0,gt_primary_election_batch01.csv
AL,2025-08-03,0,gt_primary_election_batch01.csv
AL,2025-08-10,0,gt_primary_election_batch01.csv
AL,2025-08-17,0,gt_primary_election_batch01.csv
AL,2025-08-24,2,gt_primary_election_batch01.csv
AL,2025-08-31,0,gt_primary_election_batch01.csv
AL,2025-09-07,0,gt_primary_election_batch01.csv
AL,2025-09-14,0,gt_primary_election_batch01.csv
AL,2025-09-21,0,gt_primary_election_batch01.csv
AL,2025-09-28,0,gt_primary_election_batch01.csv
AL,2025-10-05,0,gt_primary_election_batch01.csv
AL,2025-10-12,0,gt_primary_election_batch01.csv
AL,2025-10-19,0,gt_primary_election_batch01.csv
AL,2025-10-26,0,gt_primary_election_batch01.csv
AL,2025-11-02,0,gt_primary_election_batch01.csv
AL,2025-11-09,0,gt_primary_election_batch01.csv
AL,2025-11-16,0,gt_primary_election_batch01.csv
AL,2025-11-23,0,gt_primary_election_batch01.csv
AL,2025-11-30,0,gt_primary_election_batch01.csv
AL,2025-12-07,0,gt_primary_election_batch01.csv
AL,2025-12-14,0,gt_primary_election_batch01.csv
AL,2025-12-21,0,gt_primary_election_batch01.csv
AL,2025-12-28,0,gt_primary_election_batch01.csv
AL,2026-01-04,0,gt_primary_election_batch01.csv
AL,2026-01-11,0,gt_primary_election_batch01.csv
AL,2026-01-18,0,gt_primary_election_batch01.csv
AL,2026-01-25,0,gt_primary_election_batch01.csv
AL,2026-02-01,1,gt_primary_election_batch01.csv
AL,2026-02-08,2,gt_primary_election_batch01.csv
AL,2026-02-15,3,gt_primary_election_batch01.csv
AL,2026-02-22,4,gt_primary_election_batch01.csv
AL,2026-03-01,9,gt_primary_election_batch01.csv
AL,2026-03-08,4,gt_primary_election_batch01.csv
AL,2026-03-15,2,gt_primary_election_batch01.csv
AL,2026-03-22,2,gt_primary_election_batch01.csv
AL,2026-03-29,2,gt_primary_election_batch01.csv
AL,2026-04-05,4,gt_primary_election_batch01.csv
AL,2026-04-12,4,gt_primary_election_batch01.csv
AL,2026-04-19,4,gt_primary_election_batch01.csv
AL,2026-04-26,3,gt_primary_election_batch01.csv
AL,2026-05-03,8,gt_primary_election_batch01.csv
AL,2026-05-10,13,gt_primary_election_batch01.csv
AL,2026-05-17,100,gt_primary_election_batch01.csv
AL,2026-05-24,7,gt_primary_election_batch01.csv
AL,2026-05-31,10,gt_primary_election_batch01.csv
AL,2026-06-07,6,gt_primary_election_batch01.csv
AL,2026-06-14,12,gt_primary_election_batch01.csv
AL,2026-06-21,3,gt_primary_election_batch01.csv
AL,2026-06-28,2,gt_primary_election_batch01.csv
AL,2026-07-05,2,gt_primary_election_batch01.csv
AL,2026-07-12,1,gt_primary_election_batch01.csv
AL,2026-07-19,1,gt_primary_election_batch01.csv
AR,2025-06-29,0,gt_primary_election_batch01.csv
AR,2025-07-06,0,gt_primary_election_batch01.csv
AR,2025-07-13,0,gt_primary_election_batch01.csv
AR,2025-07-20,0,gt_primary_election_batch01.csv
AR,2025-07-27,0,gt_primary_election_batch01.csv
AR,2025-08-03,0,gt_primary_election_batch01.csv
AR,2025-08-10,0,gt_primary_election_batch01.csv
AR,2025-08-17,0,gt_primary_election_batch01.csv
AR,2025-08-24,0,gt_primary_election_batch01.csv
AR,2025-08-31,0,gt_primary_election_batch01.csv
AR,2025-09-07,0,gt_primary_election_batch01.csv
AR,2025-09-14,0,gt_primary_election_batch01.csv
AR,2025-09-21,0,gt_primary_election_batch01.csv
AR,2025-09-28,0,gt_primary_election_batch01.csv
AR,2025-10-05,0,gt_primary_election_batch01.csv
AR,2025-10-12,0,gt_primary_election_batch01.csv
AR,2025-10-19,0,gt_primary_election_batch01.csv
AR,2025-10-26,0,gt_primary_election_batch01.csv
AR,2025-11-02,0,gt_primary_election_batch01.csv
AR,2025-11-09,0,gt_primary_election_batch01.csv
AR,2025-11-16,0,gt_primary_election_batch01.csv
AR,2025-11-23,0,gt_primary_election_batch01.csv
AR,2025-11-30,3,gt_primary_election_batch01.csv
AR,2025-12-07,0,gt_primary_election_batch01.csv
AR,2025-12-14,3,gt_primary_election_batch01.csv
AR,2025-12-21,0,gt_primary_election_batch01.csv
