topic,lvl,n_states,n_treated,est,se,t
CRM operations,0,20,4,-0.008124999999999993,0.03624117935125613,-0.22419248339716016
Industry and sector knowledge,1,25,5,0.04050000000000002,0.02880331069518826,1.406088363542381
Career planning,1,22,4,-0.002500000000000004,0.036323246854730075,-0.06882644632508808
Lore worldbuilding,0,31,8,0.058858695652173956,0.03944083820205345,1.4923287215815189
Math tutoring,0,33,8,-0.09175000000000004,0.07040115206547816,-1.303245718403385
Customer support and service,1,31,9,-0.028333333333333263,0.042858655987899785,-0.6610877704922097
Itinerary planning,0,28,6,-0.016666666666666618,0.07104478568387833,-0.23459380595258325
Server infrastructure,1,38,10,0.0820000000000001,0.1061823255777633,0.7722565836999574
Fashion shopping,1,27,6,-0.08214285714285709,0.048283540620414435,-1.7012600171273857
Science,1,31,7,-0.11595238095238099,0.08439919124756841,-1.3738565410213175
Nutrition,0,27,7,-0.04099999999999998,0.0406740887030982,-1.0080127498191978
Education and learning — other,1,31,8,-0.04891304347826092,0.04512140707665378,-1.0840318741648676
Casual conversation,0,38,10,0.047142857142857146,0.07788153225068692,0.6053149672391216
Go-to-market,0,20,4,0.02749999999999999,0.017002491763666343,1.617409988032837
Home renovation,1,36,10,-0.11553846153846165,0.05011292180913123,-2.3055622655274717
Naming,0,20,5,-0.015333333333333326,0.015476663272599226,-0.9907389637713666
Business correspondence,0,41,10,0.23264516129032273,0.11751796802410851,1.9796560917611865
Structured drafting,0,30,9,0.0031746031746031646,0.052515117193082356,0.06045122517638302
Business ideation,1,28,8,-0.0027499999999999808,0.023546435807533517,-0.11679049952520362
Thesis writing,0,34,9,-0.08551111111111118,0.06248259730802616,-1.3685588435058045
Financial modeling,0,27,6,0.0069047619047619005,0.04646339804216181,0.14860647726402582
Personal development,0,20,4,-0.01312500000000002,0.030927489867263503,-0.42437973648461935
Trend tracking,1,35,9,0.03132478632478641,0.07147727010348003,0.43824821904133265
Data Visualization,0,22,5,-0.009999999999999998,0.04139064843880825,-0.24160046718726705
Medical Research,0,23,5,-0.020666666666666687,0.033461122210016764,-0.6176322042325291
Profile optimization,0,22,5,-0.06247058823529415,0.03047912663071538,-2.0496187109357438
Companionship & General Conversation,2,42,11,0.018504398826979452,0.0876964001092134,0.21100522716935763
Homework,1,46,11,-0.9741558441558439,0.3778585968123385,-2.5780962835672976
Code design,1,40,10,-0.13100000000000003,0.0776229748806771,-1.6876446722297709
Conversation and meeting intelligence,1,23,4,0.011710526315789468,0.02425045117252542,0.48289931731484337
Document generation,0,27,7,-0.015142857142857161,0.035976493668022344,-0.4209097552026552
Workout programming,0,30,7,0.05689440993788822,0.03902006169827606,1.4580809835162785
Outdoor and garden,1,37,10,-0.06733333333333334,0.06277292353111845,-1.0726493135205684
Practice quiz generation,0,22,6,-0.047083333333333297,0.05677457396356624,-0.82930315537987
Editing and rewriting,1,40,10,-0.04533333333333345,0.07272089154427862,-0.6233880301884183
