state_po,month,mean_index,primary_date,treat_may,march_primary,aei_sample
AK,2025-07-01,0,2026-08-18,FALSE,FALSE,FALSE
AK,2025-08-01,0,2026-08-18,FALSE,FALSE,FALSE
AK,2025-09-01,0,2026-08-18,FALSE,FALSE,FALSE
AK,2025-10-01,0,2026-08-18,FALSE,FALSE,FALSE
AK,2025-11-01,0,2026-08-18,FALSE,FALSE,FALSE
AK,2025-12-01,0,2026-08-18,FALSE,FALSE,FALSE
AK,2026-01-01,0,2026-08-18,FALSE,FALSE,FALSE
AK,2026-02-01,0,2026-08-18,FALSE,FALSE,FALSE
AK,2026-03-01,0,2026-08-18,FALSE,FALSE,FALSE
AK,2026-04-01,0,2026-08-18,FALSE,FALSE,FALSE
AK,2026-05-01,0,2026-08-18,FALSE,FALSE,FALSE
AL,2025-07-01,0,2026-05-19,TRUE,FALSE,TRUE
AL,2025-08-01,0.5,2026-05-19,TRUE,FALSE,TRUE
AL,2025-09-01,0,2026-05-19,TRUE,FALSE,TRUE
AL,2025-10-01,0,2026-05-19,TRUE,FALSE,TRUE
AL,2025-11-01,0,2026-05-19,TRUE,FALSE,TRUE
AL,2025-12-01,0,2026-05-19,TRUE,FALSE,TRUE
AL,2026-01-01,0,2026-05-19,TRUE,FALSE,TRUE
AL,2026-02-01,2.5,2026-05-19,TRUE,FALSE,TRUE
AL,2026-03-01,4.25,2026-05-19,TRUE,FALSE,TRUE
AL,2026-04-01,3.4,2026-05-19,TRUE,FALSE,TRUE
AL,2026-05-01,32,2026-05-19,TRUE,FALSE,TRUE
AR,2025-07-01,0,2026-03-03,FALSE,TRUE,FALSE
AR,2025-08-01,0,2026-03-03,FALSE,TRUE,FALSE
AR,2025-09-01,0,2026-03-03,FALSE,TRUE,FALSE
AR,2025-10-01,0,2026-03-03,FALSE,TRUE,FALSE
AR,2025-11-01,0,2026-03-03,FALSE,TRUE,FALSE
AR,2025-12-01,1.8,2026-03-03,FALSE,TRUE,FALSE
AR,2026-01-01,0,2026-03-03,FALSE,TRUE,FALSE
AR,2026-02-01,5.5,2026-03-03,FALSE,TRUE,FALSE
AR,2026-03-01,10.75,2026-03-03,FALSE,TRUE,FALSE
AR,2026-04-01,0.8,2026-03-03,FALSE,TRUE,FALSE
AR,2026-05-01,2.25,2026-03-03,FALSE,TRUE,FALSE
AZ,2025-07-01,0.6,2026-07-21,FALSE,FALSE,TRUE
AZ,2025-08-01,0.5,2026-07-21,FALSE,FALSE,TRUE
AZ,2025-09-01,0.25,2026-07-21,FALSE,FALSE,TRUE
AZ,2025-10-01,0.39999999999999997,2026-07-21,FALSE,FALSE,TRUE
AZ,2025-11-01,1,2026-07-21,FALSE,FALSE,TRUE
AZ,2025-12-01,0.2,2026-07-21,FALSE,FALSE,TRUE
AZ,2026-01-01,0.75,2026-07-21,FALSE,FALSE,TRUE
AZ,2026-02-01,2,2026-07-21,FALSE,FALSE,TRUE
AZ,2026-03-01,3.25,2026-07-21,FALSE,FALSE,TRUE
AZ,2026-04-01,2,2026-07-21,FALSE,FALSE,TRUE
AZ,2026-05-01,5.25,2026-07-21,FALSE,FALSE,TRUE
CA,2025-07-01,0.6,2026-06-02,FALSE,FALSE,TRUE
CA,2025-08-01,0.25,2026-06-02,FALSE,FALSE,TRUE
CA,2025-09-01,0,2026-06-02,FALSE,FALSE,TRUE
CA,2025-10-01,1,2026-06-02,FALSE,FALSE,TRUE
CA,2025-11-01,1,2026-06-02,FALSE,FALSE,TRUE
CA,2025-12-01,0.6,2026-06-02,FALSE,FALSE,TRUE
CA,2026-01-01,1,2026-06-02,FALSE,FALSE,TRUE
CA,2026-02-01,2,2026-06-02,FALSE,FALSE,TRUE
CA,2026-03-01,3.75,2026-06-02,FALSE,FALSE,TRUE
CA,2026-04-01,2.6,2026-06-02,FALSE,FALSE,TRUE
CA,2026-05-01,8.75,2026-06-02,FALSE,FALSE,TRUE
CO,2025-07-01,0,2026-06-30,FALSE,FALSE,TRUE
