state_po,topic,lvl,month,pct
AZ,CRM operations,0,may,0.33
NC,CRM operations,0,may,0.3
CA,CRM operations,0,may,0.29
MO,CRM operations,0,may,0.37
NY,CRM operations,0,may,0.3
NY,Productivity apps,0,may,0.02
NJ,Music production,0,may,0.08
PA,Music production,0,may,0.08
CO,Business operations,1,may,6.9
OK,Industry and sector knowledge,1,may,0.33
UT,Industry and sector knowledge,1,may,0.22
NY,Industry and sector knowledge,1,may,0.34
PA,Industry and sector knowledge,1,may,0.33
FL,Industry and sector knowledge,1,may,0.29
UT,Career planning,1,may,0.28
OH,Career planning,1,may,0.25
MD,Career planning,1,may,0.26
MN,Career planning,1,may,0.28
CT,Career planning,1,may,0.26
WA,Career planning,1,may,0.32
TN,Career planning,1,may,0.25
CO,Career planning,1,may,0.24
OH,Lore worldbuilding,0,may,0.69
CA,Lore worldbuilding,0,may,0.32
AR,Lore worldbuilding,0,may,0.65
MD,Lore worldbuilding,0,may,0.57
CT,Lore worldbuilding,0,may,0.39
DC,Lore worldbuilding,0,may,0.34
AL,Lore worldbuilding,0,may,0.87
NY,Lore worldbuilding,0,may,0.34
OR,Gift buying,1,may,0.24
VA,Gift buying,1,may,0.19
AZ,Gift buying,1,may,0.22
MO,Gift buying,1,may,0.17
UT,Gift buying,1,may,0.4
MI,Gift buying,1,may,0.25
GA,OCR transcription,0,may,0.12
OR,OCR transcription,0,may,0.16
CA,OCR transcription,0,may,0.14
CO,OCR transcription,0,may,0.15
WA,Legal concepts,0,may,0.08
NJ,Legal concepts,0,may,0.06
NY,Legal concepts,0,may,0.09
CT,Math tutoring,0,may,0.55
MN,Math tutoring,0,may,0.55
OR,Math tutoring,0,may,0.71
OH,Math tutoring,0,may,0.5
CO,Math tutoring,0,may,0.38
PR,Math tutoring,0,may,0.81
NH,Math tutoring,0,may,0.77
OK,Math tutoring,0,may,0.4
NC,Photo compositing,0,may,0.08
NJ,Photo compositing,0,may,0.1
TX,Color grading,0,may,0.03
IN,CRM operations,0,may,0.17
MD,CRM operations,0,may,0.19
AL,CRM operations,0,may,0.38
UT,CRM operations,0,may,0.44
IL,CRM operations,0,may,0.27
WA,CRM operations,0,may,0.19
CO,Music production,0,may,0.09
OH,Music production,0,may,0.1
MI,Business operations,1,may,5.52
GA,Business operations,1,may,6.49
UT,Business operations,1,may,7.93
IL,Business operations,1,may,5.26
WA,Business operations,1,may,5.48
TX,Wealth management,0,may,0.04
DC,Industry and sector knowledge,1,may,0.31
CT,Industry and sector knowledge,1,may,0.34
TN,Industry and sector knowledge,1,may,0.34
MD,Industry and sector knowledge,1,may,0.35
TX,Industry and sector knowledge,1,may,0.35
KY,Industry and sector knowledge,1,may,0.38
WI,Career planning,1,may,0.22
TX,Career planning,1,may,0.24
MA,Career planning,1,may,0.31
OR,Career planning,1,may,0.23
MO,Career planning,1,may,0.24
AZ,Career planning,1,may,0.21
DC,Career planning,1,may,0.29
SC,Lore worldbuilding,0,may,0.53
IN,Lore worldbuilding,0,may,0.73
FL,Lore worldbuilding,0,may,0.46
NJ,Lore worldbuilding,0,may,0.37
TX,Gift buying,1,may,0.2
WI,Gift buying,1,may,0.3
NJ,Gift buying,1,may,0.17
PA,Gift buying,1,may,0.23
CO,Gift buying,1,may,0.29
WA,Gift buying,1,may,0.25
TN,OCR transcription,0,may,0.16
AZ,OCR transcription,0,may,0.15
NY,OCR transcription,0,may,0.13
FL,Legal concepts,0,may,0.09
MA,Legal concepts,0,may,0.1
CA,Legal concepts,0,may,0.09
FL,Math tutoring,0,may,0.3
TX,Math tutoring,0,may,0.46
IL,Math tutoring,0,may,0.82
NJ,Math tutoring,0,may,0.73
IN,Math tutoring,0,may,0.89
PA,Photo compositing,0,may,0.08
MN,Rubric evaluation,0,may,0.13
OR,Rubric evaluation,0,may,0.17
OH,CRM operations,0,may,0.22
MN,CRM operations,0,may,0.27
GA,CRM operations,0,may,0.35
FL,CRM operations,0,may,0.52
CA,Desktop automation,0,may,0.02
CA,Upcoming products,0,may,0.03
NC,Music production,0,may,0.07
TX,Music production,0,may,0.04
IN,Business operations,1,may,5.44
AK,Business operations,1,may,5.25
MD,Business operations,1,may,5.24
AZ,Business operations,1,may,6.64
WA,Wealth management,0,may,0.06
MO,Industry and sector knowledge,1,may,0.4
IA,Industry and sector knowledge,1,may,0.61
LA,Industry and sector knowledge,1,may,0.4
NC,Industry and sector knowledge,1,may,0.29
OH,Industry and sector knowledge,1,may,0.43
AZ,Industry and sector knowledge,1,may,0.43
IN,Industry and sector knowledge,1,may,0.33
CA,Toxicology,0,may,0.02
FL,Art techniques,0,may,0.05
WA,Art techniques,0,may,0.08
IL,Art techniques,0,may,0.06
VA,Career planning,1,may,0.29
MI,Career planning,1,may,0.25
IN,Career planning,1,may,0.28
NV,Lore worldbuilding,0,may,0.51
TN,Lore worldbuilding,0,may,0.78
ID,Lore worldbuilding,0,may,0.59
TX,Lore worldbuilding,0,may,0.48
MA,Lore worldbuilding,0,may,0.28
VA,Lore worldbuilding,0,may,0.52
NE,Lore worldbuilding,0,may,0.8
LA,Lore worldbuilding,0,may,0.81
NC,Lore worldbuilding,0,may,0.7
OH,Gift buying,1,may,0.16
IL,Gift buying,1,may,0.18
TN,Gift buying,1,may,0.14
FL,Gift buying,1,may,0.17
GA,Gift buying,1,may,0.21
CA,Flavor chemistry,0,may,0.02
CA,Hand tools,0,may,0.02
TX,OCR transcription,0,may,0.13
VA,OCR transcription,0,may,0.18
CO,Legal concepts,0,may,0.11
VA,Legal concepts,0,may,0.07
TX,Legal concepts,0,may,0.09
NC,Math tutoring,0,may,0.49
RI,Math tutoring,0,may,1
NY,Math tutoring,0,may,0.75
HI,Math tutoring,0,may,0.41
WI,Math tutoring,0,may,0.8
ID,Math tutoring,0,may,0.56
AZ,Photo compositing,0,may,0.12
FL,Photo compositing,0,may,0.08
GA,Rubric evaluation,0,may,0.14
PA,CRM operations,0,may,0.25
VA,CRM operations,0,may,0.21
CO,CRM operations,0,may,0.52
SC,CRM operations,0,may,0.44
NJ,CRM operations,0,may,0.34
MA,CRM operations,0,may,0.29
CA,Productivity apps,0,may,0.03
WA,Music production,0,may,0.11
NY,Business operations,1,may,5.27
MT,Business operations,1,may,7.35
MO,Business operations,1,may,6.31
CT,Business operations,1,may,4.87
FL,Wealth management,0,may,0.06
MI,Industry and sector knowledge,1,may,0.34
MN,Industry and sector knowledge,1,may,0.39
GA,Industry and sector knowledge,1,may,0.3
VA,Art techniques,0,may,0.07
TX,Art techniques,0,may,0.05
GA,Career planning,1,may,0.24
CA,Career planning,1,may,0.26
DE,Lore worldbuilding,0,may,0.74
WA,Lore worldbuilding,0,may,0.55
OR,Lore worldbuilding,0,may,0.68
GA,Lore worldbuilding,0,may,0.54
CA,Adhesives,0,may,0.02
CA,Sociolinguistics,0,may,0.02
OH,OCR transcription,0,may,0.12
WA,OCR transcription,0,may,0.17
DC,Math tutoring,0,may,0.9
MD,Math tutoring,0,may,0.77
CA,Math tutoring,0,may,0.79
IA,Math tutoring,0,may,0.96
GA,Math tutoring,0,may,0.37
UT,Math tutoring,0,may,0.31
CA,Photo compositing,0,may,0.05
WA,Photo compositing,0,may,0.07
TX,Photo compositing,0,may,0.07
CA,Rubric evaluation,0,may,0.14
FL,Color grading,0,may,0.03
CA,Color grading,0,may,0.04
MI,CRM operations,0,may,0.36
NV,CRM operations,0,may,0.33
TX,CRM operations,0,may,0.31
OK,CRM operations,0,may,0.31
TN,CRM operations,0,may,0.38
NY,Music production,0,may,0.09
GA,Music production,0,may,0.08
VA,Music production,0,may,0.13
MI,Music production,0,may,0.11
IL,Music production,0,may,0.09
FL,Music production,0,may,0.09
FL,Business operations,1,may,7.87
TX,Business operations,1,may,6.83
PA,Business operations,1,may,5.11
MN,Business operations,1,may,5.82
NC,Business operations,1,may,6.19
OR,Industry and sector knowledge,1,may,0.42
CA,Industry and sector knowledge,1,may,0.31
WA,Industry and sector knowledge,1,may,0.32
MA,Industry and sector knowledge,1,may,0.35
AL,Industry and sector knowledge,1,may,0.26
NV,Industry and sector knowledge,1,may,0.3
