topic,lvl,month,pct
Upcoming products,0,may,0.02
Toxicology,0,may,0.02
Art techniques,0,may,0.06
Hand tools,0,may,0.02
Sociolinguistics,0,may,0.01
Formal linguistics,0,may,0.01
Camera technique,0,may,0.05
Commerce,0,may,0.05
Science,1,may,0.55
Trivia identification,0,may,0.14
Media system setup,0,may,0.08
Document summarization,0,may,0.34
On-the-ground navigation,0,may,0.21
Text normalization,0,may,0.02
Go-to-market,0,may,0.23
Multi-agent trading analysis,0,may,0.01
Gym logistics,0,may,0.01
Literature screening,0,may,0.03
Financial data retrieval,0,may,0.02
Job interviews,0,may,0.45
API test validation,0,may,0
UI screenshot analysis,0,may,0.01
Coverage questions,0,may,0.05
Music production,0,may,0.08
Flavor chemistry,0,may,0.02
OCR transcription,0,may,0.14
Photo compositing,0,may,0.07
Fact extraction,0,may,0
Itinerary planning,0,may,0.73
Fashion shopping,1,may,0.57
Scholar discovery,0,may,0.02
Social science research,0,may,0.12
Environment setup,0,may,0.13
Research and intelligence — other,1,may,0.03
Slide editing,0,may,0.11
Geography,0,may,0.08
Structured relevance scoring,0,may,0.01
Exercise science,0,may,0.09
Symbolic art,0,may,0
Betting and Probability,0,may,0.11
Psycholinguistics,0,may,0
Hygiene,0,may,0.02
Numerology,0,may,0.05
Financial modeling,0,may,0.38
Prompt engineering,0,may,0.06
Fabric and film,0,may,0.01
Health and Wellness Industry,0,may,0.07
Loyalty programs,0,may,0.05
Nature and materials,1,may,0.11
Literature summaries,0,may,0.04
Connectivity,0,may,0.01
Urban heritage,0,may,0
Trend tracking,1,may,0.86
Travel documents,0,may,0.01
Medical Research,0,may,0.38
Web search,0,may,0.08
Browser APIs,0,may,0.03
School admissions,0,may,0.15
Persistent knowledge systems,0,may,0.11
Waste disposal,0,may,0.01
Word games,0,may,0.05
Fluency coaching,0,may,0.02
Outdoor and garden,1,may,0.71
Clothing retail,0,may,0.15
Structured web copy,0,may,0.23
Data analysis,1,may,0.78
Web security,0,may,0
Natural language processing,0,may,0.01
Airport operations,0,may,0.06
Employment history,0,may,0.01
Document extraction,0,may,0.04
Immigration and visa information,0,may,0.05
Discourse analysis,0,may,0
Workout programming,0,may,0.55
Practice quiz generation,0,may,0.26
Spoken writing,1,may,0.39
Politics,0,may,0.15
Entity detection,1,may,0.02
Post copywriting,0,may,1.39
Environmental science,0,may,0
Modern physics,0,may,0.03
Infant care,0,may,0.05
Desktop automation,0,apr,0.02
Music production,0,apr,0.07
Flavor chemistry,0,apr,0.02
Model deployment,0,apr,0.05
Book recommendations,0,apr,0.05
Event data extraction,0,apr,0
Nutrition,0,apr,0.48
Education and learning — other,1,apr,0.57
Media system setup,0,apr,0.07
Document summarization,0,apr,0.39
Slide editing,0,apr,0.12
Version control,0,apr,0.07
Exercise science,0,apr,0.08
Translation studies,0,apr,0.02
Coffee brewing,0,apr,0.04
Hygiene,0,apr,0.02
Business correspondence,0,apr,2.1
Business ideation,1,apr,0.38
Thesis writing,0,apr,0.7
Betting and Probability,0,apr,0.1
Quantitative trading,0,apr,0.02
Health and Wellness Industry,0,apr,0.06
Media recommendations,0,apr,0.1
Homework,1,apr,5.89
Code design,1,apr,1.18
Backtesting,0,apr,0.07
Outdoor and garden,1,apr,0.58
Structured web copy,0,apr,0.22
Payroll documents,0,apr,0.01
Calculus,0,apr,0.16
Administrative petitions,0,apr,0.02
Proofreading,0,apr,0.42
Port infrastructure,0,apr,0
Airport operations,0,apr,0.05
Ad campaigns,1,apr,0.04
Trade setup analysis,0,apr,0.07
Preference summarization,0,apr,0
Employment history,0,apr,0.01
Document extraction,0,apr,0.04
Public records lookup,0,apr,0.05
Infrastructure planning,0,apr,0.1
Translation review,0,apr,0
Campaign briefs,0,apr,0.1
Author info,0,apr,0.01
Account management,0,apr,0.34
Real estate investing,0,apr,0.15
Database schema,0,apr,0.06
Casual image generation,0,apr,0.01
Math and CS theory,1,apr,1.1
Children's fiction,0,apr,0.03
Productivity apps,0,apr,0.03
Upcoming products,0,apr,0.02
Industry and sector knowledge,1,apr,0.32
Career planning,1,apr,0.27
Lore worldbuilding,0,apr,0.47
Adhesives,0,apr,0.02
Hand tools,0,apr,0.01
Legal concepts,0,apr,0.08
Supplier sourcing,0,apr,0.01
Spreadsheet add-ins,1,apr,0.01
Test execution,0,apr,0.03
Document authenticity,1,apr,0
Casual conversation,0,apr,1.02
On-the-ground navigation,0,apr,0.16
PDF editing,0,apr,0.15
Account setup,1,apr,0.08
Business telephony,1,apr,0
Road and outdoor rules,0,apr,0
Job interviews,0,apr,0.49
Cost estimation,0,apr,0.02
Numerology,0,apr,0.05
Crypto token analysis,0,apr,0
Personal development,0,apr,0.19
Travel documents,0,apr,0
Fabric and film,0,apr,0
Performing arts,0,apr,0
Companionship & General Conversation,2,apr,1.58
Loyalty programs,0,apr,0.04
Waste disposal,0,apr,0.01
Word games,0,apr,0.05
Editing and rewriting,1,apr,1.35
Fictional artifacts,0,apr,0.01
Legal education,0,apr,0.19
Education pathways,1,apr,0.29
Food safety,0,apr,0.08
Nautical travel,0,apr,0.01
Template replication,0,apr,0.02
Code security review,1,apr,0.01
Window treatments,0,apr,0.01
Document translation,0,apr,0.02
Outdoor recreation equipment,0,apr,0.07
Post copywriting,0,apr,1.27
Transcript summarization,0,apr,0.21
Cosmetics and Personal Care,1,apr,0.31
Electromagnetism,0,apr,0.04
Logistics documents,0,apr,0.01
Multiplayer and anti-cheat,0,apr,0.04
Stock screening,0,apr,0.04
Location identification,0,apr,0.01
Grooming and style,1,apr,0.17
Ingredient substitution,0,apr,0.03
3D modeling and printing,1,apr,0.13
LLM application development,0,apr,0.11
Transport rules,1,apr,0.03
Instruments,0,apr,0.04
Subject line copywriting,0,apr,0.01
Interactive fiction,0,apr,0.2
Workplace conflict,0,apr,0.26
Cloud storage,0,apr,0.02
Education & Learning,2,apr,11.14
Digital products,0,apr,0.08
Device setup,1,apr,0.18
Real estate careers,0,apr,0.03
Hobbies and lifestyle — other,1,apr,0.42
Electrical safety,0,apr,0.01
Criminal and property law,1,apr,0.18
Structural feedback,0,apr,0.26
3D modeling,0,apr,0.07
Project tracking,0,apr,0.45
Politics and public record,1,apr,0.42
AI model comparisons,0,apr,0.14
Taxonomy tagging,1,apr,0.04
AI product development,0,apr,0.27
Exam preparation,0,apr,0.33
Physical structure estimation,0,apr,0
Server provisioning,0,apr,0.04
Scoring and rating,1,apr,0.01
Screenwriting,0,apr,0.12
Internal metrics lookup,0,apr,0.02
Privacy law,0,apr,0.02
Malware analysis,0,apr,0.02
Knowledge base authoring,0,apr,0.57
Task control signals,0,apr,0
Fitness equipment,0,apr,0.07
Legal research,0,apr,0.2
Occasion messages,0,apr,0.08
Database record counting,0,apr,0.03
Dashboards and charts,1,apr,0.54
Personal AI Assistant,2,apr,3.33
Containerization,0,apr,0.05
Backend frameworks,0,apr,0.03
Car rental,0,apr,0.02
Multilingual workflows,0,apr,0
Distributed systems,0,apr,0.01
Afterlife and mysticism,1,apr,0.1
CRM operations,0,may,0.31
Desktop automation,0,may,0.02
Chemistry reasoning,0,may,0.01
BI software learning,1,may,0.03
Industrial processes,0,may,0
Statistics and records,0,may,0.04
Model deployment,0,may,0.05
Spreadsheet add-ins,1,may,0
Status lookup,0,may,0.08
Embedded and hardware,0,may,0.02
Server infrastructure,1,may,0.83
Self-hosting,0,may,0.16
Security reporting,0,may,0.01
Workflow state routing,0,may,0.22
Threat detection,1,may,0.05
Restaurant recommendations,0,may,0.12
Legal profession,0,may,0.12
Version control,0,may,0.06
Cost estimation,0,may,0.02
Coffee brewing,0,may,0.05
Clarification prompts,0,apr,0.05
School administration,0,apr,0.01
Build pipelines,0,apr,0.06
Empty inputs,1,apr,0.2
Document Processing & Extraction,2,apr,3.05
Art history,1,apr,0.01
Litigation procedure,0,apr,0.05
Energy infrastructure,0,apr,0.01
Social benefits,0,apr,0.02
Audience research,0,apr,0.03
Sales intelligence,0,apr,0.08
Gardening,0,apr,0.34
Document formatting,0,apr,0.1
Wellness and fitness,1,apr,1.92
Reverse engineering,1,apr,0.04
Formatted writing,1,apr,1.33
Family activities,0,apr,0.02
Quant trading,1,apr,0.57
Lawn care,0,apr,0.08
Algorithm implementation,0,apr,0.41
Waves and signals,0,apr,0.03
Vehicle ownership,0,apr,0.08
Outfit evaluation,0,apr,0.24
Recipe scaling,0,apr,0.02
Portrait retouching,0,apr,0.05
Epistolary etiquette,0,apr,0
Clinical Document Processing,0,apr,0.04
Debugging,1,apr,0.28
Data structures,0,apr,0.02
Business compliance,1,apr,0.38
Physics education,0,apr,0.01
Bathroom design,0,apr,0.02
Travel marketing,0,apr,0.02
Zoning and planning,0,apr,0.01
Power and charging,0,apr,0.01
Duplicate detection,0,apr,0.01
Business models,0,apr,0.05
Streaming culture,0,apr,0.01
Numerical and scientific methods,1,apr,0.06
PC hardware,0,apr,0.11
Investment research,0,apr,0.95
Remittance,0,apr,0.01
Backend patching,0,apr,0.18
Sales analytics,0,apr,0.18
Code review automation,0,apr,0
Ad campaign optimization,0,apr,0.03
Physical properties,1,apr,0.04
Developer platform administration,0,apr,0.03
Reply drafting,0,apr,0.36
Reading apps,0,apr,0.01
Meeting records,0,apr,0.07
Data pipeline debugging,0,apr,0.02
Position analysis,0,apr,0.02
Personal data protection,0,apr,0.01
Knowledge retrieval and search — other,1,apr,0.01
AI assistant features,0,apr,0.05
Making music,1,apr,0.14
Failure diagnosis,0,apr,0.1
Meal planning,0,apr,0.24
Vehicle specifications,0,apr,0.07
Kitchen equipment,0,apr,0.06
Practice simulators,0,apr,0
Hotels,0,apr,0.11
Verbatim span retrieval,0,apr,0.01
Entitlements and rules,1,apr,0.6
Regex,0,apr,0.01
Cross-domain insight synthesis,0,apr,0.22
Studying abroad,0,apr,0.04
Bioinformatics,0,apr,0.04
Structural systems,0,apr,0.01
Plumbing fixtures,0,apr,0.05
Credit,0,apr,0.02
App store publishing,0,apr,0.01
Computer science,0,apr,0.19
Weight management,0,apr,0.3
Fixed income,0,apr,0.01
Embedded systems,0,apr,0.13
HVAC,0,apr,0.03
Sermons,0,apr,0.1
Wiring and circuits,0,apr,0.03
Damages remedies,0,apr,0
App prototyping,0,apr,0.57
AI coding assistants,0,apr,0.14
Airline policy,0,apr,0.02
Criminal procedure,0,apr,0.02
Online course platforms,0,apr,0.02
Creator monetization,0,apr,0.08
Software Development,2,apr,8.68
Social media graphics,0,apr,0.12
Reference data entries,0,apr,0.15
API design,0,apr,0.03
Petroleum trading,0,apr,0.01
Idioms and phrases,0,apr,0.01
Short-form video scripts,0,apr,0.38
Furniture shopping,0,apr,0.08
Operational coordination,0,apr,0.44
Game modding,0,apr,0.11
Trigonometry,0,apr,0.03
Workforce training,0,apr,0.06
Optimization,0,apr,0.01
Product landscape,0,apr,0.2
Recurring reminders,0,apr,0.19
Animal behavior,0,apr,0.05
Interior design,0,apr,0.2
Digital forensics,1,apr,0.05
AI industry,1,apr,0.13
Job applications,0,apr,0.53
Emotional Wellbeing and Support,0,apr,2.71
Forex,0,apr,0
Alpha factor research,0,apr,0.01
Safety gear,0,apr,0
Software identification,0,apr,0.23
Gift recommendations,0,apr,0.06
Religious and cultural practices,0,apr,0.04
3D printing,0,apr,0.06
Internal briefs,0,apr,0.2
Garment care,0,apr,0.04
Energy geopolitics,0,apr,0.03
Medical Questions,1,apr,2.06
Subtitle translation,0,apr,0
Cooking techniques,0,apr,0.06
Travel safety,0,apr,0.02
Materials science,0,apr,0.01
Home routines,1,apr,0.1
Inventory tracking,0,apr,0.17
Haircare,0,apr,0.12
Family and personal law,0,apr,0.01
Job correspondence,0,apr,0.41
Background removal,0,apr,0.01
Crafting and construction,1,apr,0.03
IT service desk,0,apr,0.05
Companionship and conversation,1,apr,1.58
Game engine tooling,0,apr,0.06
Labor law,0,apr,0.04
Podcast scripts,0,apr,0.06
Vehicle regulations,0,apr,0
Probability estimation,0,apr,0.01
AI output evaluation,1,apr,0.05
Infant care,1,apr,0.04
Career direction,0,apr,0.26
Game reference,0,apr,0.69
Sales coaching,0,apr,0.05
Content QA,0,apr,0.02
Login and permissions,1,apr,0.09
Motorcycles,0,apr,0.02
Capital raising,0,apr,0.09
Irrigation,0,apr,0.02
Organizational intelligence,0,apr,0.01
Systems programming,0,apr,0.04
Email platforms,0,apr,0.01
General wellness information,0,apr,0.13
Sightseeing,0,apr,0.07
Marketplace reputation,0,apr,0.01
Business telephony,0,apr,0
Husbandry,0,apr,0.12
UI design,0,apr,0.25
Trading signal analysis,0,apr,0.05
Repository setup,0,apr,0.03
Healthcare business,0,apr,0.03
Customer service QA,0,apr,0.01
Elections,0,apr,0.04
Cybersecurity,0,apr,0.03
Appliance repair,0,apr,0.09
Personal logging,0,apr,0.19
Historical figures,0,apr,0.03
Application logistics,0,apr,0
Reinforcement learning,0,apr,0.03
Literary analysis,1,apr,0.26
Organizational design,0,apr,0.03
Banking,0,apr,0.08
CRM activity logging,0,apr,0.01
Financial news analysis,0,apr,0.02
Public transit,0,apr,0.03
Implementation planning,0,apr,0.16
IoT sensors,0,apr,0.03
Coding tools,1,apr,0.16
Game prototyping,0,apr,0.26
Spirituality and metaphysical practices,1,apr,0.08
Cleaning,0,apr,0.02
Photo and video editing,1,apr,0.4
Geometry,0,apr,0.01
Memory retrieval,1,apr,0.01
Strategy configuration,0,apr,0.01
API querying,0,apr,0.03
Fabric care,0,apr,0.04
Craft supplies,0,apr,0.05
Business law,0,apr,0.06
Foundations of mathematics,0,apr,0.03
Observability,0,apr,0.03
React,0,apr,0.09
Literature review,0,apr,0.5
Market microstructure analysis,0,apr,0.03
Productivity scripting,0,apr,0.04
Appellate procedure,0,apr,0
Promotions and warranties,0,apr,0.02
Media discovery,1,apr,1.17
Sports business,0,apr,0.05
Complex analysis,0,apr,0.01
Buying and investing,1,apr,2.13
Structured data extraction,0,apr,0.04
Dashboard instruments,0,apr,0
Influencer research,0,apr,0.01
Building inspection,0,apr,0.01
Deal analysis,0,apr,0.04
Subscription value,0,apr,0.01
Leadership,0,apr,0.02
Web front-end,1,apr,2.17
Epidemiology,0,apr,0.02
Vehicle selection,0,apr,0.29
Content Creation & Copywriting,2,apr,19.53
Slide decks,1,apr,1.49
Destination selection,0,apr,0.15
Cosmology,0,apr,0.02
Headlines,0,apr,0.05
Exegesis,0,apr,0.03
Astronomy,0,apr,0.01
Trade policy,0,apr,0.01
Event business,0,apr,0.01
Daily briefing,0,apr,0.01
Geospatial mapping,0,apr,0.01
Video scripts,1,apr,0.6
Data wrangling,1,apr,0.01
Fabrication,0,apr,0.07
E-commerce platforms,0,apr,0.01
Finance content creation,0,apr,0.05
Productivity apps,0,may,0.03
Pipe systems,0,may,0.01
Lore worldbuilding,0,may,0.49
Gift buying,1,may,0.2
Adhesives,0,may,0.02
Legal concepts,0,may,0.08
Math tutoring,0,may,0.61
Supplier sourcing,0,may,0
Transcription cleanup,0,may,0
Legal analysis,0,may,0.02
Document processing and extraction — other,1,may,0.02
Event data extraction,0,may,0
Test execution,0,may,0.03
Relocation,0,may,0.17
Document authenticity,1,may,0
Casual conversation,0,may,1.03
Localization,0,may,0.02
Chemistry,0,may,0.07
Road and outdoor rules,0,may,0.01
Dietary restrictions,0,may,0.02
Combinatorics,0,may,0.02
Thesis writing,0,may,0.59
Photography critique,0,may,0.04
Mobile payments,0,may,0.02
Data Visualization,0,may,0.36
Crypto marketing,0,may,0.01
Control flow,0,may,0.01
Backtesting,0,may,0.08
Jewelry,0,may,0.05
Legal documents,0,may,0.09
Event promotion,0,may,0.05
Document review,0,may,0.33
Fictional artifacts,0,may,0.01
Competition math,0,may,0
Estate planning,0,may,0.01
Financial reporting,0,may,0.04
Calculus,0,may,0.11
Software recommendations,0,may,0.06
Proofreading,0,may,0.4
Business correspondence,0,may,2.22
Review findings validation,0,may,0
Circuit analysis,0,may,0.05
Cold outreach,0,may,0.12
Accessibility,1,may,0
JSON publishing,0,may,0.01
Product photography prompts,0,may,0.03
Packing and travel prep,1,may,0.08
Prompt engineering,1,may,0.07
Quantitative trading,0,may,0.02
Performing arts,0,may,0
Code design,1,may,1.04
Document generation,0,may,0.38
Beauty appointments,0,may,0.02
Food safety,0,may,0.1
Nautical travel,0,may,0.02
Fantasy sports,0,may,0.12
Outdoor recreation equipment,0,may,0.11
Agent architecture,0,may,0.3
Output quality scoring,0,may,0
Footwear,0,may,0.07
Public records lookup,0,may,0.05
Benefits navigation,0,may,0.12
Workplace writing,1,may,2.77
Push notifications,0,may,0
Professional credentialing,0,may,0.07
CRM operations,0,apr,0.3
Chemistry reasoning,0,apr,0.01
Gift buying,1,apr,0.15
Math tutoring,0,apr,0.8
Data record lookup,0,apr,0.11
Statistics and records,0,apr,0.04
Customer support and service,1,apr,0.5
Video retrieval,0,apr,0.02
Product taxonomy,0,apr,0
Camera technique,0,apr,0.04
Fashion shopping,1,apr,0.48
Scholar discovery,0,apr,0.03
Gym logistics,0,apr,0.01
Chemistry,0,apr,0.11
Enterprise IT administration,0,apr,0.04
Combinatorics,0,apr,0.02
Structured relevance scoring,0,apr,0.01
Symbolic art,0,apr,0
Therapist practice,0,apr,0.01
Memory management,0,apr,0.02
Jewelry,0,apr,0.04
Legal documents,0,apr,0.08
Practice quiz generation,0,apr,0.28
Game community tooling,0,apr,0.02
Spoken writing,1,apr,0.42
Beauty appointments,0,apr,0.02
Cross-platform data alignment,0,apr,0
Financial reporting,0,apr,0.04
Simulation bugs,0,apr,0.04
Computer architecture,0,apr,0.06
Internship reports,0,apr,0.03
Brakes,0,apr,0.01
Environmental science,0,apr,0.01
Product photography prompts,0,apr,0.02
Instructional design,0,apr,0.43
Sorting ranking,0,apr,0
Self-reflection,1,apr,0.63
Company research,0,apr,0.05
Solar power,0,apr,0.01
Video post-production,0,apr,0.01
Finding the best price,1,apr,0.62
Niche publishing,1,apr,0.21
Tires wheels,0,apr,0.02
Firmware security,0,apr,0
Workflow diagrams,1,apr,0.05
E-commerce listing analysis,0,apr,0
Metric anomaly triage,0,apr,0.06
Data analysis reasoning,0,apr,0.1
Concurrency,0,apr,0.01
Object-oriented programming,0,apr,0.01
Spreadsheet UI,0,apr,0.01
Medical education,0,apr,0.22
Cook scheduling,0,apr,0.02
Bilingual drafting,1,apr,0.01
Workplace messaging,0,apr,0.19
Grant writing,1,apr,0.25
Traffic violations,0,apr,0.01
Research hypothesis generation,0,apr,0.08
API debugging,0,apr,0.36
Invoicing,0,apr,0.22
Real estate search,0,apr,0.18
Investment banking careers,0,apr,0.03
Local business profiles,0,apr,0.02
Landlord-tenant information,0,apr,0.02
Invoice extraction,0,apr,0.03
Data Analysis & Business Intelligence,2,apr,3.62
Security operations,0,apr,0.04
Research organisation,0,apr,0
Taxonomy labeling,0,apr,0.01
Dataset creation,0,apr,0.01
Configuration authoring,0,apr,0.04
Financial marketing,0,apr,0.04
Interactive learning tools,0,apr,0.16
Pool and spa,0,apr,0.03
Travel tech tools,0,apr,0
Competitive intelligence,0,apr,0.48
Web scraping,0,apr,0.07
Chatbot development,0,apr,0.01
Ad and traffic diagnosis,1,apr,0.07
Prompt injection detection,0,apr,0
AI image generation,1,apr,0.53
Wall mounting,0,apr,0.02
Candidate profile writing,0,apr,0.02
Evidentiary documents,0,apr,0.01
Academic faculty careers,0,apr,0.04
Graph algorithms,0,apr,0.01
Regulatory compliance,0,apr,0.29
Brewing,0,apr,0.02
Fintech,0,apr,0.05
Strategic partnerships,0,apr,0.02
Precious metals,0,apr,0.03
Ingredient preparation,0,apr,0.02
Specialized translation,0,apr,0.01
Traveler rights,0,apr,0.01
Project scaffolding,0,apr,0.15
CSS styling,0,apr,0.16
Intellectual property,0,apr,0.03
Job offer evaluation,0,apr,0.09
Binary and low-level scripting,0,apr,0.01
Offensive security,1,apr,0.06
Salads and dressings,0,apr,0.01
Accounting,0,apr,0.03
UI and HUD design,0,apr,0.04
Language and linguistics,1,apr,0.25
Personal finance,0,apr,0.33
Aquariums and terrariums,0,apr,0.03
Rights and freedoms,1,apr,0.05
Soups and stews,0,apr,0.03
Pull request lifecycle,0,apr,0.01
Law and governance,0,apr,0.06
Thermofluids,0,apr,0.02
Cinematography,0,apr,0.01
Consumer electronics,0,apr,0.2
Repairs,0,apr,0.03
Business communication,0,apr,0.02
Genealogy,0,apr,0.05
Contemporary religious movements,0,apr,0.03
Grooming,0,apr,0.05
Wildlife ecology,0,apr,0.02
Conflict forecasting,0,apr,0.04
JavaScript,0,apr,0.01
Holidays & Seasonal Observances,0,apr,0
Banking history,1,apr,0.04
Content strategy,0,apr,0.47
Anatomy and materials,0,apr,0.03
Recruitment document preprocessing,0,apr,0.04
Summarizing,1,apr,0.47
Offline-first web,0,apr,0
Industry domain knowledge,0,apr,0.3
Programming paradigms,0,apr,0.01
Home furnishing and decor,1,apr,0.38
Empty inputs,0,apr,0.2
Opinion writing,1,apr,0.08
Gaming,1,apr,1.16
CRM data extraction,0,apr,0.01
Payment infrastructure,0,apr,0.02
Onomastics,0,apr,0.02
Language learning strategy,0,apr,0.03
Court appeals,1,apr,0
SEO strategy,0,apr,0.04
Survey analytics,0,apr,0.03
Tech recruitment,0,apr,0.18
Parts sourcing,0,apr,0.06
Reference and fact-finding,1,apr,1.18
CMS plugins,0,apr,0.08
Software process,0,apr,0.02
Beverage science,0,apr,0.01
Photo library management,0,apr,0.01
Reading comprehension,0,apr,0.03
Recruitment and HR Operations,0,apr,0.56
Shell and systems code,1,apr,0.58
Home networking,0,apr,0.04
Structural engineering,0,apr,0.03
Personal messaging,0,apr,0.3
Home comfort,0,apr,0.02
Literary translation,0,apr,0.01
Document authentication,0,apr,0
Print design,0,apr,0.14
Search query generation,0,apr,0
Knowledge graphs,0,apr,0
Resume writing,0,apr,0.85
Color grading,0,apr,0.03
Pipe systems,0,apr,0
Art techniques,0,apr,0.05
Sociolinguistics,0,apr,0.01
OCR transcription,0,apr,0.13
Industrial processes,0,apr,0
Legal analysis,0,apr,0.01
Status lookup,0,apr,0.08
Wine,0,apr,0.04
Itinerary planning,0,apr,0.53
Self-hosting,0,apr,0.15
Relocation,0,apr,0.15
Unit conversion,0,apr,0.02
Dietary restrictions,0,apr,0.02
Restaurant recommendations,0,apr,0.1
Coverage questions,0,apr,0.04
Psycholinguistics,0,apr,0
Structured drafting,0,apr,0.48
Hardening and configuration,1,apr,0.04
Genre craft,0,apr,0.01
Medical Research,0,apr,0.35
Web search,0,apr,0.08
Memory retrieval,0,apr,0.01
Literature summaries,0,apr,0.07
Connectivity,0,apr,0.01
Event promotion,0,apr,0.06
Security operations,1,apr,0.05
Publishing strategy,0,apr,0.08
Clothing retail,0,apr,0.13
Politics,0,apr,0.14
Competition math,0,apr,0
Estate planning,0,apr,0.01
Data analysis,1,apr,0.84
Software recommendations,0,apr,0.06
Entity detection,1,apr,0.01
JSON publishing,0,apr,0.01
Infant care,0,apr,0.04
Benefits navigation,0,apr,0.09
Immigration and visa information,0,apr,0.04
Professional credentialing,0,apr,0.07
Repository inspection,0,apr,0.02
Migration debugging,0,apr,0.02
Web page extraction,0,apr,0.01
Presentation authoring,0,apr,1.23
Conversation & Meeting Intelligence,2,apr,0.34
Word choice and writing,1,apr,0.11
Skill file creation,0,apr,0.09
AI onboarding,0,apr,0.01
Insurance regulation,0,apr,0.01
Compliance & Regulatory,2,apr,1.08
Social media analytics,0,apr,0.08
Therapist practice,1,apr,0.01
Sociology,0,apr,0.04
Woodworking,0,apr,0.03
Fact-checking,0,apr,0.14
Academic framing,0,apr,0.04
Software how-to,1,apr,0.99
SEO copywriting,0,apr,0.25
Online platforms,1,apr,0.06
Platform navigation,0,apr,0.55
Test infrastructure,0,apr,0.01
Gaming,0,apr,0.07
Opinion writing,0,apr,0.08
Quiz assistance,0,apr,1.99
File conversion,0,apr,0.28
Property transactions,0,may,0.13
Web page extraction,0,may,0.01
Word choice and writing,1,may,0.12
Physics literature,0,may,0.02
Desktop apps,1,may,0.16
Finding the best price,1,may,0.75
Multiplayer and anti-cheat,0,may,0.04
Firmware security,0,may,0
Therapist practice,1,may,0.01
Config files,1,may,0.05
Business registration,0,may,0.03
ML and data science,1,may,0.2
Education finance,0,may,0.03
Medical education,0,may,0.24
Structured data output,0,may,0.02
Workplace messaging,0,may,0.19
Document metadata,0,may,0
Criminal and property law,1,may,0.2
3D modeling,0,may,0.08
Company and deal research,1,may,0.48
Project tracking,0,may,0.47
Problem instance calibration,0,may,0
Gardening,0,may,0.4
Nominations,0,may,0.03
Travel logistics,1,may,0.22
Invoice extraction,0,may,0.04
Research & Intelligence,2,may,13.46
UI copy editing,0,may,0.03
Product compatibility,1,may,0.1
Reference documentation,1,may,1.03
Legal ethics,0,may,0.01
Migration debugging,0,may,0.02
Skill file creation,0,may,0.08
Account management,0,may,0.37
Overlay and rendering,0,may,0
Hobbies & Lifestyle,2,may,13.59
Insurance regulation,0,may,0.01
Social media analytics,0,may,0.07
Tires wheels,0,may,0.03
Skincare,0,may,0.26
Sector regulation,0,may,0
Workflow diagrams,1,may,0.04
Live coverage,0,may,0.03
Trivia,0,may,0.7
Data analysis reasoning,0,may,0.12
Concurrency,0,may,0.01
Object-oriented programming,0,may,0.01
Art history,1,may,0.01
Entertainment venues,0,may,0.03
Speech writing,0,may,0.22
Device setup,1,may,0.21
