Category: All categories

Week,primary election: (Alabama),primary election: (Alaska),primary election: (Arizona),primary election: (Arkansas),primary election: (California)
2025-06-29,0,0,0,0,1
2025-07-06,0,0,0,0,<1
2025-07-13,0,0,3,0,1
2025-07-20,0,0,0,0,<1
2025-07-27,0,0,0,0,1
2025-08-03,0,0,1,0,1
2025-08-10,0,0,0,0,<1
2025-08-17,0,0,0,0,<1
2025-08-24,2,0,1,0,<1
2025-08-31,0,0,0,0,<1
2025-09-07,0,0,0,0,<1
2025-09-14,0,0,0,0,<1
2025-09-21,0,0,1,0,<1
2025-09-28,0,0,0,0,1
2025-10-05,0,0,0,0,1
2025-10-12,0,0,0,0,1
2025-10-19,0,0,1,0,1
2025-10-26,0,0,1,0,1
2025-11-02,0,0,3,0,2
2025-11-09,0,0,1,0,1
2025-11-16,0,0,0,0,1
2025-11-23,0,0,0,0,<1
2025-11-30,0,0,1,3,1
2025-12-07,0,0,0,0,1
2025-12-14,0,0,0,3,1
2025-12-21,0,0,0,0,<1
2025-12-28,0,0,0,3,<1
2026-01-04,0,0,1,0,1
2026-01-11,0,0,0,0,1
2026-01-18,0,0,1,0,1
2026-01-25,0,0,1,0,1
2026-02-01,1,0,2,4,2
2026-02-08,2,0,1,3,1
2026-02-15,3,0,2,8,2
2026-02-22,4,0,3,7,3
2026-03-01,9,0,7,40,8
2026-03-08,4,0,2,0,2
2026-03-15,2,0,2,3,3
2026-03-22,2,0,2,0,2
2026-03-29,2,0,1,4,2
2026-04-05,4,0,2,0,2
2026-04-12,4,0,2,0,3
2026-04-19,4,0,3,0,3
2026-04-26,3,0,2,0,3
2026-05-03,8,0,4,0,7
2026-05-10,13,0,3,0,6
2026-05-17,100,0,8,5,10
2026-05-24,7,0,6,4,12
2026-05-31,10,11,14,7,67
2026-06-07,6,0,7,4,14
2026-06-14,12,0,3,0,3
2026-06-21,3,0,7,3,3
2026-06-28,2,0,9,0,4
2026-07-05,2,0,7,0,3
2026-07-12,1,3,10,<1,2
2026-07-19,1,7,42,1,2
2026-07-26,1,3,6,0,1
