Category: All categories

Week,primary election: (Colorado),primary election: (Connecticut),primary election: (Delaware),primary election: (District of Columbia),primary election: (Florida)
2025-06-29,0,0,0,0,1
2025-07-06,0,0,0,0,1
2025-07-13,0,0,0,12,1
2025-07-20,0,0,0,0,0
2025-07-27,0,0,0,0,1
2025-08-03,0,0,0,0,1
2025-08-10,0,0,0,0,1
2025-08-17,0,0,0,0,1
2025-08-24,0,0,0,0,0
2025-08-31,0,2,0,0,0
2025-09-07,0,9,0,0,1
2025-09-14,0,0,0,0,1
2025-09-21,0,0,0,0,1
2025-09-28,0,0,0,0,1
2025-10-05,0,0,0,0,1
2025-10-12,0,0,0,0,1
2025-10-19,0,0,0,0,1
2025-10-26,0,0,0,0,1
2025-11-02,2,6,0,8,4
2025-11-09,0,0,0,0,1
2025-11-16,0,0,0,0,1
2025-11-23,0,0,0,0,1
2025-11-30,2,0,0,0,1
2025-12-07,0,0,0,0,1
2025-12-14,0,0,0,12,1
2025-12-21,0,0,0,0,1
2025-12-28,0,0,0,0,1
2026-01-04,0,0,0,0,2
2026-01-11,0,0,0,0,2
2026-01-18,0,0,0,0,1
2026-01-25,2,0,0,0,2
2026-02-01,3,2,0,11,2
2026-02-08,2,0,0,9,2
2026-02-15,2,3,0,0,3
2026-02-22,4,2,0,11,3
2026-03-01,13,8,9,43,11
2026-03-08,4,0,0,0,4
2026-03-15,3,0,0,12,2
2026-03-22,3,0,0,10,2
2026-03-29,1,0,0,0,3
2026-04-05,3,0,0,0,2
2026-04-12,1,2,0,0,3
2026-04-19,2,0,0,0,3
2026-04-26,2,3,0,10,3
2026-05-03,5,9,0,19,5
2026-05-10,4,3,0,16,4
2026-05-17,9,6,16,46,10
2026-05-24,7,3,0,25,5
2026-05-31,16,10,16,50,11
2026-06-07,15,9,10,37,8
2026-06-14,16,0,0,100,4
2026-06-21,21,5,12,54,4
2026-06-28,68,7,0,14,5
2026-07-05,7,4,0,0,4
2026-07-12,3,2,2,5,6
2026-07-19,3,4,3,9,7
2026-07-26,1,3,3,6,6
