Category: All categories

Week,primary election: (New Jersey),primary election: (New Mexico),primary election: (New York),primary election: (North Carolina),primary election: (North Dakota)
2025-06-29,2,0,2,1,0
2025-07-06,1,0,1,1,0
2025-07-13,1,0,1,0,0
2025-07-20,0,0,1,0,0
2025-07-27,0,0,1,1,0
2025-08-03,0,0,1,0,15
2025-08-10,1,0,0,1,0
2025-08-17,0,0,1,0,0
2025-08-24,0,0,0,1,0
2025-08-31,0,0,0,1,0
2025-09-07,0,0,1,3,0
2025-09-14,0,0,0,1,0
2025-09-21,0,0,1,1,0
2025-09-28,0,0,0,1,0
2025-10-05,1,0,1,3,0
2025-10-12,1,0,1,1,0
2025-10-19,1,0,1,1,0
2025-10-26,2,0,2,1,0
2025-11-02,7,0,4,4,0
2025-11-09,1,0,1,2,0
2025-11-16,0,0,1,2,0
2025-11-23,0,0,1,0,0
2025-11-30,0,0,1,1,0
2025-12-07,0,0,1,1,0
2025-12-14,0,0,1,1,0
2025-12-21,0,0,1,0,0
2025-12-28,0,0,0,1,0
2026-01-04,1,0,1,2,0
2026-01-11,2,0,1,2,0
2026-01-18,1,0,1,2,0
2026-01-25,1,0,1,3,0
2026-02-01,7,0,2,4,0
2026-02-08,2,0,2,8,0
2026-02-15,2,0,1,9,0
2026-02-22,2,4,2,13,0
2026-03-01,7,14,7,56,0
2026-03-08,2,4,2,2,0
2026-03-15,2,0,2,3,0
2026-03-22,2,0,1,2,0
2026-03-29,2,0,2,2,0
2026-04-05,2,0,1,1,0
2026-04-12,2,5,2,2,0
2026-04-19,3,0,2,2,0
2026-04-26,3,0,1,2,0
2026-05-03,6,11,4,5,0
2026-05-10,5,9,3,3,0
2026-05-17,10,7,6,6,11
2026-05-24,8,18,3,3,10
2026-05-31,49,100,10,7,24
2026-06-07,6,9,7,6,77
2026-06-14,2,0,7,2,0
2026-06-21,6,4,24,4,0
2026-06-28,3,0,4,3,0
2026-07-05,2,0,2,2,0
2026-07-12,1,1,1,0,1
2026-07-19,1,7,1,1,2
2026-07-26,1,2,1,1,0
