Category: All categories

Week,primary election: (Wyoming),primary election: (United States)
2025-06-29,0,2
2025-07-06,0,1
2025-07-13,0,1
2025-07-20,0,1
2025-07-27,0,1
2025-08-03,0,3
2025-08-10,0,1
2025-08-17,0,1
2025-08-24,0,1
2025-08-31,0,1
2025-09-07,0,2
2025-09-14,0,1
2025-09-21,0,1
2025-09-28,0,1
2025-10-05,0,2
2025-10-12,0,2
2025-10-19,0,2
2025-10-26,0,3
2025-11-02,0,6
2025-11-09,0,2
2025-11-16,0,2
2025-11-23,0,1
2025-11-30,0,2
2025-12-07,0,2
2025-12-14,0,2
2025-12-21,0,1
2025-12-28,0,1
2026-01-04,0,3
2026-01-11,0,3
2026-01-18,0,3
2026-01-25,0,3
2026-02-01,0,5
2026-02-08,0,5
2026-02-15,0,7
2026-02-22,0,8
2026-03-01,0,31
2026-03-08,0,7
2026-03-15,0,9
2026-03-22,0,4
2026-03-29,0,4
2026-04-05,0,5
2026-04-12,20,5
2026-04-19,43,6
2026-04-26,42,7
2026-05-03,100,21
2026-05-10,59,12
2026-05-17,47,30
2026-05-24,0,13
2026-05-31,31,42
2026-06-07,22,18
2026-06-14,0,9
2026-06-21,24,16
2026-06-28,0,9
2026-07-05,0,6
2026-07-12,10,4
2026-07-19,17,7
2026-07-26,16,5
