state,state_po,primary_date,runoff_date,notes
Alabama,AL,2026-05-19,2026-06-16,
Alaska,AK,2026-08-18,,
Arizona,AZ,2026-07-21,,
Arkansas,AR,2026-03-03,2026-03-31,
California,CA,2026-06-02,,top-two primary; all-mail state
Colorado,CO,2026-06-30,,all-mail state
Connecticut,CT,2026-08-11,,
Delaware,DE,2026-09-15,,
District of Columbia,DC,2026-06-16,,delegate primary; date from FVAP (not listed by NCSL)
Florida,FL,2026-08-18,,
Georgia,GA,2026-05-19,2026-06-16,
Hawaii,HI,2026-08-08,,
Idaho,ID,2026-05-19,,
Illinois,IL,2026-03-17,,
Indiana,IN,2026-05-05,,
Iowa,IA,2026-06-02,,
Kansas,KS,2026-08-04,,
Kentucky,KY,2026-05-19,,
Louisiana,LA,2026-05-16,2026-06-27,US Senate and local primary; US House races use Nov 3 jungle primary
Maine,ME,2026-06-09,,
Maryland,MD,2026-06-23,,
Massachusetts,MA,2026-09-01,,
Michigan,MI,2026-08-04,,
Minnesota,MN,2026-08-11,,
Mississippi,MS,2026-03-10,2026-04-07,congressional primary
Missouri,MO,2026-08-04,,
Montana,MT,2026-06-02,,
Nebraska,NE,2026-05-12,,
Nevada,NV,2026-06-09,,
New Hampshire,NH,2026-09-08,,
New Jersey,NJ,2026-06-02,,
New Mexico,NM,2026-06-02,,
New York,NY,2026-06-23,,
North Carolina,NC,2026-03-03,2026-05-12,
North Dakota,ND,2026-06-09,,
Ohio,OH,2026-05-05,,
Oklahoma,OK,2026-06-16,2026-08-25,
Oregon,OR,2026-05-19,,all-mail state
Pennsylvania,PA,2026-05-19,,
Rhode Island,RI,2026-09-09,,
South Carolina,SC,2026-06-09,2026-06-23,
South Dakota,SD,2026-06-02,2026-07-28,
Tennessee,TN,2026-08-06,,
Texas,TX,2026-03-03,2026-05-26,
Utah,UT,2026-06-23,,mostly all-mail state
Vermont,VT,2026-08-11,,
Virginia,VA,2026-08-04,,congressional primary; Aug 4 date confirmed by both NCSL and FVAP
Washington,WA,2026-08-04,,top-two primary; all-mail state
West Virginia,WV,2026-05-12,,
Wisconsin,WI,2026-08-11,,spring election (state supreme court) held Apr 7 2026 - separate from Aug partisan primary
Wyoming,WY,2026-08-18,,
